,Date,Time,Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s),Temperature (K),Pressure (Pa),Roughness_length (m)
6374,2018-03-10,21:00:00,155.533926315254,292.427093505859,138.666793823242,4.17159414291381,294.2,99882.6,0.15
6375,2018-03-10,22:00:00,169.93015297001998,308.458099365234,152.499206542968,4.24521780014038,293.91,99834.3,0.15
6376,2018-03-10,23:00:00,109.879683236493,323.04800415039,76.74693298339841,3.901587963104241,292.88,99807.7,0.15
6377,2018-04-10,00:00:00,21.398427506210197,321.961608886718,26.8679008483886,3.12784194946289,291.39,99786.2,0.15
6378,2018-04-10,01:00:00,0.0,332.446502685546,0.0,2.60486888885498,290.08,99763.8,0.15
6379,2018-04-10,02:00:00,98.89391541627992,359.260498046875,23.5149097442626,3.83738803863525,289.09,99747.6,0.15
6380,2018-04-10,03:00:00,153.84705087801,345.322113037109,91.3123092651367,4.16287517547607,288.22,99721.3,0.15
6381,2018-04-10,04:00:00,1346.63329678798,44.4407196044921,1372.81396484375,7.669192790985099,287.56,99670.8,0.15
6382,2018-04-10,05:00:00,1626.01460817074,50.03403091430661,1479.9300537109302,8.16527366638183,286.98,99615.1,0.15
6383,2018-04-10,06:00:00,1786.8267368099398,46.341999053955,1587.94104003906,8.43297481536865,286.48,99574.7,0.15
6384,2018-04-10,07:00:00,1186.98116156285,51.1988410949707,1071.85705566406,7.3606572151184,286.13,99531.7,0.15
6385,2018-04-10,08:00:00,911.215912131458,36.8403892517089,830.925476074218,6.75929498672485,285.82,99502.8,0.15
6386,2018-04-10,09:00:00,533.6262318515139,27.218410491943306,474.673187255859,5.716940879821769,285.79,99478.6,0.15
6387,2018-04-10,10:00:00,415.78890836431196,36.6494789123535,343.318786621093,5.30934190750122,286.07,99459.0,0.15
6388,2018-04-10,11:00:00,96.54245028337748,57.6956100463867,87.09082794189449,3.82312297821044,286.51,99436.0,0.15
6389,2018-04-10,12:00:00,64.82143258024,49.8298797607421,70.3994369506835,3.60639190673828,286.44,99402.5,0.15
6390,2018-04-10,13:00:00,21.3432889052201,55.6512107849121,18.3462200164794,3.1267890930175697,286.38,99362.6,0.15
