,Date,Time,Temperature (K),Wind_speed (m/s),Pressure (Pa),Roughness_length (m)
346,2018-01-15,11:00:00,263.03,4.15252,101098.0,0.15
347,2018-01-15,12:00:00,263.76,3.83382,101128.0,0.15
348,2018-01-15,13:00:00,264.43,3.5186900000000003,101164.0,0.15
349,2018-01-15,14:00:00,264.79,3.23936,101214.0,0.15
350,2018-01-15,15:00:00,264.81,4.1859,101272.0,0.15
351,2018-01-15,16:00:00,264.5,3.59124,101329.0,0.15
352,2018-01-15,17:00:00,264.04,4.0348,101399.0,0.15
353,2018-01-15,18:00:00,263.67,3.5718400000000003,101459.0,0.15
354,2018-01-15,19:00:00,263.39,4.38656,101504.0,0.15
355,2018-01-15,20:00:00,263.25,3.9593199999999995,101544.0,0.15
356,2018-01-15,21:00:00,263.1,4.249969999999999,101558.0,0.15
357,2018-01-15,22:00:00,263.08,4.55046,101566.0,0.15
358,2018-01-15,23:00:00,263.11,3.82936,101580.0,0.15
359,2018-01-15,00:00:00,263.33,4.50932,101589.0,0.15
360,2018-01-16,01:00:00,263.79,4.12047,101588.0,0.15
361,2018-01-16,02:00:00,264.32,4.52305,101581.0,0.15
362,2018-01-16,03:00:00,264.92,3.83466,101573.0,0.15
363,2018-01-16,04:00:00,265.76,4.68027,101557.0,0.15
364,2018-01-16,05:00:00,266.51,4.6039,101528.0,0.15
365,2018-01-16,06:00:00,267.1,4.76515,101483.0,0.15
366,2018-01-16,07:00:00,267.3,5.1545,101423.0,0.15
367,2018-01-16,08:00:00,267.41,5.61015,101363.0,0.15
368,2018-01-16,09:00:00,267.25,5.83881,101344.0,0.15
369,2018-01-16,10:00:00,267.6,5.066,101300.0,0.15
370,2018-01-16,11:00:00,267.38,5.13022,101236.0,0.15
371,2018-01-16,12:00:00,267.19,6.18237,101134.0,0.15
372,2018-01-16,13:00:00,266.74,5.98982,100972.0,0.15
373,2018-01-16,14:00:00,266.44,5.8548599999999995,100910.0,0.15
374,2018-01-16,15:00:00,265.91,5.99437,100849.0,0.15
375,2018-01-16,16:00:00,265.27,6.33589,100800.0,0.15
376,2018-01-16,17:00:00,264.52,6.6979999999999995,100718.0,0.15
377,2018-01-16,18:00:00,263.94,7.156389999999999,100649.0,0.15
378,2018-01-16,19:00:00,263.39,6.814989999999999,100617.0,0.15
379,2018-01-16,20:00:00,263.4,6.5964,100518.0,0.15
380,2018-01-16,21:00:00,263.65,6.91815,100424.0,0.15
381,2018-01-16,22:00:00,264.04,6.6843,100322.0,0.15
382,2018-01-16,23:00:00,264.49,6.647189999999999,100249.0,0.15
383,2018-01-16,00:00:00,265.0,6.6225,100169.0,0.15
384,2018-01-17,01:00:00,265.68,6.63045,100113.0,0.15
385,2018-01-17,02:00:00,266.69,5.87403,100097.0,0.15
386,2018-01-17,03:00:00,267.31,6.355119999999999,100071.0,0.15
387,2018-01-17,04:00:00,268.09,6.01795,99998.5,0.15
388,2018-01-17,05:00:00,269.13,5.6756400000000005,99929.6,0.15
389,2018-01-17,06:00:00,270.15,5.86143,99845.4,0.15
390,2018-01-17,07:00:00,271.3,6.59541,99758.6,0.15
391,2018-01-17,08:00:00,271.83,6.73459,99700.3,0.15
392,2018-01-17,09:00:00,272.14,6.657089999999999,99674.2,0.15
393,2018-01-17,10:00:00,272.78,5.63077,99665.3,0.15
394,2018-01-17,11:00:00,273.43,5.6372,99679.6,0.15
395,2018-01-17,12:00:00,273.72,6.02764,99728.9,0.15
396,2018-01-17,13:00:00,273.76,6.77343,99810.9,0.15
397,2018-01-17,14:00:00,273.75,7.287660000000001,99918.2,0.15
398,2018-01-17,15:00:00,273.7,7.2072,100044.0,0.15
399,2018-01-17,16:00:00,273.73,6.85257,100145.0,0.15
400,2018-01-17,17:00:00,273.67,7.223839999999999,100232.0,0.15
401,2018-01-17,18:00:00,273.67,7.728089999999999,100320.0,0.15
402,2018-01-17,19:00:00,273.6,7.95,100414.0,0.15
403,2018-01-17,20:00:00,273.61,7.67475,100504.0,0.15
404,2018-01-17,21:00:00,273.57,7.584630000000001,100585.0,0.15
